model,data,pred_len,seq_len,n_features,bit_width,num_params,param_bytes,activation_arena_bytes,peak_ram_bytes,flash_bytes,flops,latency_ms,energy_mj,deploy_16k,deploy_32k,deploy_64k
SparseTSF,ETTm2,720,96,7,8,145,145,5712,13472,6289,45120,1.3536,0.40201919999999997,1,1,1
SparseTSF,Weather,96,96,21,8,41,41,4032,10112,6185,20928,0.62784,0.18646847999999996,1,1,1
SparseTSF,Weather,192,96,21,8,57,57,6048,14144,6201,37056,1.11168,0.33016896,1,1,1
SparseTSF,Weather,336,96,21,8,81,81,9072,20192,6225,61248,1.8374400000000002,0.5457196799999999,0,1,1
SparseTSF,Weather,720,96,21,8,145,145,17136,36320,6289,125760,3.7728,1.1205216,0,0,1
SparseTSF,Exchange,96,96,8,8,41,41,1536,5120,6185,10944,0.32832,0.09751104,1,1,1
SparseTSF,Exchange,192,96,8,8,57,57,2304,6656,6201,17088,0.51264,0.15225407999999999,1,1,1
SparseTSF,Exchange,336,96,8,8,81,81,3456,8960,6225,26304,0.78912,0.23436864000000002,1,1,1
SparseTSF,Exchange,720,96,8,8,145,145,6528,15104,6289,50880,1.5264,0.4533408,1,1,1
SparseTSF,Electricity,96,96,321,8,41,41,61632,125312,6185,251328,7.53984,2.23933248,0,0,0
SparseTSF,Electricity,192,96,321,8,57,57,92448,186944,6201,497856,14.93568,4.43589696,0,0,0
SparseTSF,Electricity,336,96,321,8,81,81,138672,279392,6225,867648,26.02944,7.73074368,0,0,0
SparseTSF,Electricity,720,96,321,8,145,145,261936,525920,6289,1853760,55.6128,16.517001599999997,0,0,0
SparseTSF,Traffic,96,96,862,8,41,41,165504,333056,6185,666816,20.00448,5.94133056,0,0,0
SparseTSF,Traffic,192,96,862,8,57,57,248256,498560,6201,1328832,39.864959999999996,11.83989312,0,0,0
SparseTSF,Traffic,336,96,862,8,81,81,372384,746816,6225,2321856,69.65568,20.68773696,0,0,0
SparseTSF,Traffic,720,96,862,8,145,145,703392,1408832,6289,4969920,149.0976,44.281987199999996,0,0,0
FEATHer,ETTh1,96,96,7,8,453,453,2880,6272,6597,134446,4.033379999999999,1.1979138599999999,1,1,1
FEATHer,ETTh1,192,96,7,8,517,517,2880,6944,6661,145198,4.35594,1.29371418,1,1,1
FEATHer,ETTh1,336,96,7,8,613,613,3174,8246,6757,161326,4.83978,1.43741466,1,1,1
FEATHer,ETTh1,720,96,7,8,869,869,5862,13622,7013,204334,6.13002,1.82061594,1,1,1
FEATHer,ETTh2,96,96,7,8,453,453,2880,6272,6597,134446,4.033379999999999,1.1979138599999999,1,1,1
FEATHer,ETTh2,192,96,7,8,517,517,2880,6944,6661,145198,4.35594,1.29371418,1,1,1
FEATHer,ETTh2,336,96,7,8,613,613,3174,8246,6757,161326,4.83978,1.43741466,1,1,1
FEATHer,ETTh2,720,96,7,8,869,869,5862,13622,7013,204334,6.13002,1.82061594,1,1,1
FEATHer,ETTm1,96,96,7,8,453,453,2880,6272,6597,134446,4.033379999999999,1.1979138599999999,1,1,1
FEATHer,ETTm1,192,96,7,8,517,517,2880,6944,6661,145198,4.35594,1.29371418,1,1,1
FEATHer,ETTm1,336,96,7,8,613,613,3174,8246,6757,161326,4.83978,1.43741466,1,1,1
FEATHer,ETTm1,720,96,7,8,869,869,5862,13622,7013,204334,6.13002,1.82061594,1,1,1
FEATHer,ETTm2,96,96,7,8,453,453,2880,6272,6597,134446,4.033379999999999,1.1979138599999999,1,1,1
FEATHer,ETTm2,192,96,7,8,517,517,2880,6944,6661,145198,4.35594,1.29371418,1,1,1
FEATHer,ETTm2,336,96,7,8,613,613,3174,8246,6757,161326,4.83978,1.43741466,1,1,1
FEATHer,ETTm2,720,96,7,8,869,869,5862,13622,7013,204334,6.13002,1.82061594,1,1,1
FEATHer,Weather,96,96,21,8,1377,1377,6816,12896,7521,456558,13.69674,4.067931779999999,1,1,1
FEATHer,Weather,192,96,21,8,1441,1441,6816,14912,7585,488814,14.66442,4.35533274,1,1,1
FEATHer,Weather,336,96,21,8,1537,1537,9222,20342,7681,537198,16.11594,4.78643418,0,1,1
FEATHer,Weather,720,96,21,8,1793,1793,17286,36470,7937,666222,19.98666,5.936038019999999,0,0,1
FEATHer,Exchange,96,96,8,8,506,506,3072,6656,6650,154958,4.64874,1.38067578,1,1,1
FEATHer,Exchange,192,96,8,8,570,570,3072,7424,6714,167246,5.01738,1.49016186,1,1,1
FEATHer,Exchange,336,96,8,8,666,666,3606,9110,6810,185678,5.57034,1.6543909799999998,1,1,1
FEATHer,Exchange,720,96,8,8,922,922,6678,15254,7066,234830,7.0449,2.0923353,1,1,1
FEATHer,Electricity,96,96,321,8,115377,115377,93216,156896,121521,25445358,763.36074,226.71813978,0,0,0
FEATHer,Electricity,192,96,321,8,115441,115441,93216,187712,121585,25938414,778.15242,231.11126873999999,0,0,0
FEATHer,Electricity,336,96,321,8,115537,115537,138822,279542,121681,26677998,800.33994,237.70096217999998,0,0,0
FEATHer,Electricity,720,96,321,8,115793,115793,262086,526070,121937,28650222,859.50666,255.27347802,0,0,0
FEATHer,Traffic,96,96,862,8,775938,775938,249024,416576,782082,157864846,4735.94538,1406.57577786,0,0,0
FEATHer,Traffic,192,96,862,8,776002,776002,249024,499328,782146,159188878,4775.66634,1418.37290298,0,0,0
FEATHer,Traffic,336,96,862,8,776098,776098,372534,746966,782242,161174926,4835.247780000001,1436.0685906600002,0,0,0
FEATHer,Traffic,720,96,862,8,776354,776354,703542,1408982,782498,166471054,4994.13162,1483.25709114,0,0,0
FITS,ETTh1,96,96,7,8,1200,1200,336,3728,7344,16128,0.48384,0.14370047999999996,1,1,1
FITS,ETTh1,192,96,7,8,1800,1800,504,4568,7944,24192,0.72576,0.21555071999999997,1,1,1
FITS,ETTh1,336,96,7,8,2700,2700,756,5828,8844,36288,1.08864,0.32332608,1,1,1
FITS,ETTh1,720,96,7,8,5100,5100,1428,9188,11244,68544,2.05632,0.61072704,1,1,1
FITS,ETTh2,96,96,7,8,1200,1200,336,3728,7344,16128,0.48384,0.14370047999999996,1,1,1
FITS,ETTh2,192,96,7,8,1800,1800,504,4568,7944,24192,0.72576,0.21555071999999997,1,1,1
FITS,ETTh2,336,96,7,8,2700,2700,756,5828,8844,36288,1.08864,0.32332608,1,1,1
FITS,ETTh2,720,96,7,8,5100,5100,1428,9188,11244,68544,2.05632,0.61072704,1,1,1
FITS,ETTm1,96,96,7,8,1200,1200,336,3728,7344,16128,0.48384,0.14370047999999996,1,1,1
FITS,ETTm1,192,96,7,8,1800,1800,504,4568,7944,24192,0.72576,0.21555071999999997,1,1,1
FITS,ETTm1,336,96,7,8,2700,2700,756,5828,8844,36288,1.08864,0.32332608,1,1,1
FITS,ETTm1,720,96,7,8,5100,5100,1428,9188,11244,68544,2.05632,0.61072704,1,1,1
FITS,ETTm2,96,96,7,8,1200,1200,336,3728,7344,16128,0.48384,0.14370047999999996,1,1,1
FITS,ETTm2,192,96,7,8,1800,1800,504,4568,7944,24192,0.72576,0.21555071999999997,1,1,1
FITS,ETTm2,336,96,7,8,2700,2700,756,5828,8844,36288,1.08864,0.32332608,1,1,1
FITS,ETTm2,720,96,7,8,5100,5100,1428,9188,11244,68544,2.05632,0.61072704,1,1,1
FITS,Weather,96,96,21,8,1200,1200,1008,7088,7344,48384,1.45152,0.43110143999999995,1,1,1
FITS,Weather,192,96,21,8,1800,1800,1512,9608,7944,72576,2.17728,0.64665216,1,1,1
FITS,Weather,336,96,21,8,2700,2700,2268,13388,8844,108864,3.26592,0.96997824,1,1,1
FITS,Weather,720,96,21,8,5100,5100,4284,23468,11244,205632,6.16896,1.83218112,0,1,1
FITS,Exchange,96,96,8,8,1200,1200,384,3968,7344,18432,0.55296,0.16422912,1,1,1
FITS,Exchange,192,96,8,8,1800,1800,576,4928,7944,27648,0.82944,0.24634367999999998,1,1,1
FITS,Exchange,336,96,8,8,2700,2700,864,6368,8844,41472,1.24416,0.36951552,1,1,1
FITS,Exchange,720,96,8,8,5100,5100,1632,10208,11244,78336,2.35008,0.69797376,1,1,1
FITS,Electricity,96,96,321,8,1200,1200,15408,79088,7344,739584,22.18752,6.58969344,0,0,0
FITS,Electricity,192,96,321,8,1800,1800,23112,117608,7944,1109376,33.28128,9.88454016,0,0,0
FITS,Electricity,336,96,321,8,2700,2700,34668,175388,8844,1664064,49.92192,14.82681024,0,0,0
FITS,Electricity,720,96,321,8,5100,5100,65484,329468,11244,3143232,94.29696,28.00619712,0,0,0
FITS,Traffic,96,96,862,8,1200,1200,41376,208928,7344,1986048,59.58144,17.69568768,0,0,0
FITS,Traffic,192,96,862,8,1800,1800,62064,312368,7944,2979072,89.37216000000001,26.54353152,0,0,0
FITS,Traffic,336,96,862,8,2700,2700,93096,467528,8844,4468608,134.05823999999998,39.815297279999996,0,0,0
FITS,Traffic,720,96,862,8,5100,5100,175848,881288,11244,8440704,253.22112,75.20667264,0,0,0
DLinear,ETTh1,96,96,7,8,18624,18624,2016,5408,24768,258048,7.74144,2.2992076799999994,1,1,1
DLinear,ETTh1,192,96,7,8,37248,37248,3360,7424,43392,516096,15.48288,4.598415359999999,1,1,1
DLinear,ETTh1,336,96,7,8,65184,65184,5376,10448,71328,903168,27.09504,8.047226879999998,1,1,1
DLinear,ETTh1,720,96,7,8,139680,139680,10752,18512,145824,1935360,58.0608,17.2440576,0,1,1
DLinear,ETTh2,96,96,7,8,18624,18624,2016,5408,24768,258048,7.74144,2.2992076799999994,1,1,1
DLinear,ETTh2,192,96,7,8,37248,37248,3360,7424,43392,516096,15.48288,4.598415359999999,1,1,1
DLinear,ETTh2,336,96,7,8,65184,65184,5376,10448,71328,903168,27.09504,8.047226879999998,1,1,1
DLinear,ETTh2,720,96,7,8,139680,139680,10752,18512,145824,1935360,58.0608,17.2440576,0,1,1
DLinear,ETTm1,96,96,7,8,18624,18624,2016,5408,24768,258048,7.74144,2.2992076799999994,1,1,1
DLinear,ETTm1,192,96,7,8,37248,37248,3360,7424,43392,516096,15.48288,4.598415359999999,1,1,1
DLinear,ETTm1,336,96,7,8,65184,65184,5376,10448,71328,903168,27.09504,8.047226879999998,1,1,1
DLinear,ETTm1,720,96,7,8,139680,139680,10752,18512,145824,1935360,58.0608,17.2440576,0,1,1
DLinear,ETTm2,96,96,7,8,18624,18624,2016,5408,24768,258048,7.74144,2.2992076799999994,1,1,1
DLinear,ETTm2,192,96,7,8,37248,37248,3360,7424,43392,516096,15.48288,4.598415359999999,1,1,1
DLinear,ETTm2,336,96,7,8,65184,65184,5376,10448,71328,903168,27.09504,8.047226879999998,1,1,1
DLinear,ETTm2,720,96,7,8,139680,139680,10752,18512,145824,1935360,58.0608,17.2440576,0,1,1
DLinear,Weather,96,96,21,8,18624,18624,6048,12128,24768,774144,23.22432,6.897623039999999,1,1,1
DLinear,Weather,192,96,21,8,37248,37248,10080,18176,43392,1548288,46.44864,13.795246079999998,0,1,1
DLinear,Weather,336,96,21,8,65184,65184,16128,27248,71328,2709504,81.28512,24.14168064,0,1,1
DLinear,Weather,720,96,21,8,139680,139680,32256,51440,145824,5806080,174.1824,51.732172799999994,0,0,1
DLinear,Exchange,96,96,8,8,18624,18624,2304,5888,24768,294912,8.84736,2.62766592,1,1,1
DLinear,Exchange,192,96,8,8,37248,37248,3840,8192,43392,589824,17.69472,5.25533184,1,1,1
DLinear,Exchange,336,96,8,8,65184,65184,6144,11648,71328,1032192,30.96576,9.196830719999998,1,1,1
DLinear,Exchange,720,96,8,8,139680,139680,12288,20864,145824,2211840,66.3552,19.7074944,0,1,1
